Updated 07/11/25 at 03:32pm,Position Rank,Position,Team,Value,Age,Rookie,1QBPosition Rank,1QBValue,RdrftPosition Rank,RdrftValue
Jacory Croskey-Merritt,RB75,RB,WAS,1785,24.2,Yes,RB78,1972,,0
Tre Tucker,WR94,WR,LVR,1772,24.3,No,WR96,1995,,0
Malik Washington,WR95,WR,MIA,1767,24.5,No,WR93,2073,,0
Luke McCaffrey,WR96,WR,WAS,1765,24.3,No,WR95,1999,,0
Audric Estime,RB76,RB,DEN,1762,21.8,No,RB72,2138,,0
Jaylin Lane,WR97,WR,WAS,1757,23.2,Yes,WR99,1958,,0
Dyami Brown,WR98,WR,JAC,1754,25.7,No,WR101,1936,,0
Damien Martinez,RB77,RB,SEA,1752,21.4,Yes,RB74,2072,,0
Cade Stover,TE46,TE,HOU,1747.39,25.1,No,TE45,2036.69,,0
2025 Early 4th,,PI,,1727,,,,1979,,0
Jalin Hyatt,WR99,WR,NYG,1726.99,23.8,No,WR100,1937,,0
Spencer Rattler,QB39,QB,NOS,1725,24.8,No,QB42,1229,,0
Chimere Dike,WR100,WR,TEN,1723,23.6,Yes,WR98,1978,,0
2025 Mid 4th,,PI,,1722,,,,1931,,0
Quinn Ewers,QB40,QB,MIA,1709,22.2,Yes,QB38,1528,,0
Tyler Conklin,TE47,TE,LAC,1704.92,30.0,No,TE47,1875.42,,0
Tai Felton,WR101,WR,MIN,1698,22.3,Yes,WR102,1935,,0
Isaiah Davis,RB78,RB,NYJ,1696,23.4,No,RB77,1971.99,,0
Darius Slayton,WR102,WR,NYG,1691,28.5,No,WR104,1877,,0
Jimmy Horn,WR103,WR,CAR,1687,22.8,Yes,WR105,1872,,0
2026 Early 4th,,PI,,1681,,,,1871.99,,0
2027 Early 4th,,PI,,1668,,,,1820,,0
Adam Thielen,WR104,WR,CAR,1662,34.9,No,WR108,1797,,0
Ja'Lynn Polk,WR105,WR,NEP,1655,23.2,No,WR97,1993,,0
Jermaine Burton,WR106,WR,CIN,1651,24.0,No,WR103,1878,,0
Kirk Cousins,QB41,QB,ATL,1642,36.9,No,QB40,1276,,0
Tutu Atwell,WR107,WR,LAR,1634,25.8,No,WR106,1857,,0
2026 Mid 4th,,PI,,1630,,,,1780,,0
Justice Hill,RB79,RB,BAL,1610,27.6,No,RB80,1783,,0
Jaleel McLaughlin,RB80,RB,DEN,1604,24.8,No,RB79,1918,,0
AJ Barner,TE48,TE,SEA,1587.45,23.2,No,TE48,1790.95,,0
Devaughn Vele,WR108,WR,DEN,1568,27.6,No,WR111,1765,,0
DeAndre Hopkins,WR109,WR,BAL,1567,33.1,No,WR107,1812,,0
Darnell Washington,TE49,TE,PIT,1559.85,23.9,No,TE49,1677.55,,0
Elijah Mitchell,RB81,RB,KCC,1547,27.2,No,RB82,1722,,0
Tez Johnson,WR110,WR,TBB,1537,23.2,Yes,WR113,1749,,0
Tyler Higbee,TE50,TE,LAR,1530.48,32.5,No,TE50,1680.08,,0
Parker Washington,WR111,WR,JAC,1526,23.3,No,WR109,1786,,0
Jalen Nailor,WR112,WR,MIN,1524,26.4,No,WR110,1778,,0
Jalen Tolbert,WR113,WR,DAL,1515,26.4,No,WR112,1761,,0
Kareem Hunt,RB82,RB,KCC,1514,29.9,No,RB83,1704,,0
2025 Late 4th,,PI,,1513,,,,1808,,0
Malik Willis,QB42,QB,GBP,1512.99,26.1,No,QB43,1151,,0
Jared Wiley,TE51,TE,KCC,1511.68,24.7,No,TE54,1593.08,,0
Will Dissly,TE52,TE,LAC,1490.15,29.0,No,TE51,1668.35,,0
Jameis Winston,QB43,QB,NYG,1489,31.5,No,QB41,1266,,0
Colby Parkinson,TE53,TE,LAR,1481.3,26.5,No,TE52,1651.8,,0
Amari Cooper,WR114,WR,FA,1476,31.1,No,WR115,1728,,0
Jacob Cowing,WR115,WR,SFO,1475,24.4,No,WR114,1733,,0
Zack Moss,RB83,RB,CIN,1462,27.6,No,RB81,1748,,0
2027 Mid 4th,,PI,,1461,,,,1582,,0
Daniel Bellinger,TE54,TE,NYG,1453.08,24.8,No,TE53,1615.88,,0
Tommy Tremble,TE55,TE,CAR,1443.13,25.1,No,TE55,1547.63,,0
Javon Baker,WR116,WR,NEP,1434,23.4,No,WR116,1708,,0
Sam Howell,QB44,QB,MIN,1433.99,24.8,No,QB44,1076,,0
Jahan Dotson,WR117,WR,PHI,1427,25.3,No,WR117,1683,,0
2026 Late 4th,,PI,,1422,,,,1573,,0
Miles Sanders,RB84,RB,DAL,1411,28.2,No,RB84,1632,,0
Kenny Pickett,QB45,QB,CLE,1410.99,27.1,No,QB47,880,,0
Trey Palmer,WR118,WR,TBB,1399,24.3,No,WR120,1601,,0
LeQuint Allen,RB85,RB,JAC,1398,20.9,Yes,RB85,1615,,0
Malachi Corley,WR119,WR,NYJ,1397,23.3,No,WR118,1640,,0
Keenan Allen,WR120,WR,FA,1372,33.2,No,WR121,1552,,0
Curtis Samuel,WR121,WR,BUF,1366,28.9,No,WR119,1617,,0
Joe Flacco,QB46,QB,CLE,1361,40.5,No,QB46,891,,0
Elijah Higgins,TE56,TE,ARI,1356.98,24.7,No,TE58,1429.58,,0
Taysom Hill,TE57,TE,NOS,1356.41,34.9,No,TE60,1374.01,,0
Nick Westbrook-Ikhine,WR122,WR,MIA,1348,28.3,No,WR125,1499,,0
Diontae Johnson,WR123,WR,CLE,1336,29.0,No,WR123,1529,,0
Phil Mafah,RB86,RB,DAL,1329,22.7,Yes,RB88,1490,,0
Grant Calcaterra,TE58,TE,PHI,1312.16,26.6,No,TE56,1457.36,,0
Tyler Lockett,WR124,WR,TEN,1308,32.8,No,WR124,1526,,0
Brevin Jordan,TE59,TE,HOU,1300.49,25.0,No,TE57,1437.99,,0
Devin Singletary,RB87,RB,NYG,1295,27.8,No,RB86,1516,,0
Emanuel Wilson,RB88,RB,GBP,1292,26.2,No,RB91,1467,,0
